"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"159",159,0.085558902145422,0.601771247100183,1600,"local_only",1.90113520622253,0.231767892837524,0.666666666666667,0.666666666666667,0.979161380680646,0.982165475635447
"160",160,0.46852983344677,0.62734745114303,1600,"cond_imp",1.99427008628845,0.224300861358643,0.666666666666667,0.666666666666667,0.700591979399521,0.705717374918565
"161",161,0.50549959157219,0.255196107919512,400,"cond_imp",1.02258801460266,0.180634021759033,0.428571428571429,0.428571428571429,0.71461368437403,0.745468791656539
"162",162,0.517087557342419,0.774611685406238,100,"linear",0.909439086914062,0.172569990158081,0.25,0.25,0.610614121646207,0.613232944035901
"163",163,0.231887112612026,0.868848147830091,100,"local_only",0.896404027938843,0.164427995681763,1,1,0.666829829560814,0.629784562048439
"164",164,0.354732716824954,0.455946007565774,1600,"linear",1.98932695388794,0.228634119033813,1,1,0.897280807545457,0.896769507124382
"165",165,0.378215538214155,0.336765764944088,400,"local_only",1.05143404006958,0.17265796661377,0.666666666666667,0.666666666666667,0.95408756441742,0.957718390521772
"166",166,0.337215388971567,0.583263755896795,1600,"cond_imp",1.81477785110474,0.223199129104614,0.666666666666667,0.666666666666667,0.616785431342424,0.608724190373301
"167",167,0.49568115042096,0.318404810789088,1600,"cond_imp",1.98023509979248,0.218645811080933,1,1,0.695667990782351,0.693808439778265
"168",168,0.0307158146493345,0.552093445098828,100,"suppression",0.856462001800537,0.162971973419189,0.428571428571429,0.428571428571429,-0.0789669475680431,-0.0732727798010109
"169",169,0.196523096290604,0.528443108083719,1600,"signal_diff",1.97781896591187,0.212908029556274,0.428571428571429,0.428571428571429,0.977449214517036,0.976332208772109
"170",170,0.521190155206144,0.679008501426729,800,"multiplicative",1.28573203086853,0.188660144805908,0.666666666666667,0.666666666666667,0.76434344039439,0.760567389851103
"171",171,0.205629860044227,0.196936719832671,800,"local_only",1.30972599983215,0.18274188041687,0.428571428571429,0.428571428571429,0.951030958686066,0.948428767828591
"172",172,0.0598776080306951,0.342756415576053,800,"signal_diff",1.44144105911255,0.180310010910034,0.428571428571429,0.428571428571429,0.62545662436158,0.610467294918978
"173",173,0.184687007035803,0.166222405124982,800,"local_only",1.27847194671631,0.182898044586182,0.428571428571429,0.428571428571429,0.937873986310831,0.935267275655581
"174",174,0.184356714493175,0.56146250201487,200,"multiplicative",0.931447982788086,0.168060064315796,0.666666666666667,0.666666666666667,0.691929157799362,0.690417698520112
"175",175,0.108343765077997,0.497261082318217,100,"suppression",0.903455972671509,0.186984062194824,0.428571428571429,0.428571428571429,-0.145801134075175,-0.163945257052373
"176",176,0.563387256903702,0.724239993384555,400,"signal_diff",1.07175993919373,0.167578935623169,0.666666666666667,0.666666666666667,0.755991021895641,0.74479307426103
"177",177,0.47900220151815,0.471545640607712,200,"local_only",0.911606073379517,0.18238091468811,0.428571428571429,0.428571428571429,0.977884675762973,0.971553343432714
"178",178,0.232325421768168,0.694486767438531,400,"suppression",1.01675510406494,0.178074836730957,0.666666666666667,0.666666666666667,0.873486491471709,0.875843752465103
"179",179,0.484507288406025,0.758434982400964,100,"signal_diff",0.851748943328857,0.151632070541382,0.428571428571429,0.428571428571429,0.662942129338496,0.672540579933014
"180",180,0.432766173131616,0.608566281986839,1600,"suppression",1.93273687362671,0.218892097473145,0.666666666666667,0.666666666666667,0.821951666627537,0.814034695420584
"181",181,0.44268164920569,0.504390780421272,1600,"signal_diff",1.96599078178406,0.22670316696167,0.428571428571429,0.428571428571429,0.948285303405329,0.950442858802852
"182",182,0.298845195108978,0.201776366627189,100,"suppression",0.906454086303711,0.157991886138916,0.428571428571429,0.666666666666667,0.197270763087442,0.227959432699777
"183",183,0.541484988161567,0.66926441216073,800,"cond_imp",1.32828187942505,0.189852952957153,0.666666666666667,0.666666666666667,0.645292344904661,0.644829049014582
"184",184,0.543291544449665,0.250557509045108,100,"multiplicative",0.902944087982178,0.182537078857422,0.666666666666667,0.666666666666667,0.107713617730375,0.0852121350792725
"185",185,0.0664904711837922,0.0458177700708844,1600,"linear",2.22826600074768,0.227315902709961,1,1,0.904637983113826,0.906014217026489
"186",186,0.47905943203819,0.0318501542147324,100,"local_only",0.895892143249512,0.16280198097229,0.428571428571429,0.428571428571429,0.904178890801372,0.90266144524788
"187",187,0.586168220574732,0.408412098057968,1600,"cond_imp",1.98873519897461,0.226891994476318,1,1,0.662663488599658,0.65416561469717
"188",188,0.151185231620103,0.831039794989926,1600,"linear",1.92323207855225,0.222845077514648,1,1,0.972380833239014,0.973502226379611
"189",189,0.370140754848085,0.777029997022413,100,"multiplicative",0.855992794036865,0.158573150634766,0.428571428571429,0.428571428571429,0.231749173797737,0.232965500862585
"190",190,0.474003409965129,0.620479445080209,1600,"local_only",1.9888961315155,0.229068994522095,0.428571428571429,0.428571428571429,0.977158966992029,0.981971828012009
"191",191,0.103318253273656,0.154012514053519,800,"suppression",1.28920698165894,0.189845085144043,1,0.666666666666667,0.73310878970966,0.732116911546733
"192",192,0.201486030618915,0.24256621809997,400,"linear",1.01778292655945,0.183335065841675,0.666666666666667,0.666666666666667,0.466910580582778,0.49143941448906
"193",193,0.306669515461488,0.833706938291677,200,"suppression",0.924487113952637,0.157618999481201,0.428571428571429,0.428571428571429,0.536070625517771,0.528746158828569
"194",194,0.0408483050522505,0.47620516469485,1600,"suppression",2.04741501808167,0.230079889297485,0.666666666666667,0.666666666666667,0.517059986157028,0.534024185124397
"195",195,0.324985632439379,0.646312181472996,800,"suppression",1.318608045578,0.185718774795532,0.666666666666667,0.666666666666667,0.52911614469476,0.54599589091396
"196",196,0.52747194113074,0.193828438202924,800,"local_only",1.29653596878052,0.196973085403442,0.428571428571429,0.428571428571429,0.839150321404976,0.83851399353398
"197",197,0.578153117479721,0.687914861339678,800,"multiplicative",1.39085507392883,0.180624008178711,0.428571428571429,0.428571428571429,0.771338535949707,0.774675840642096
"198",198,0.507773470137474,0.527979715382629,200,"suppression",0.922790765762329,0.172082185745239,1,1,0.50390522210987,0.51273943817209
"199",199,0.538373211627274,0.484050195403965,400,"local_only",1.02056694030762,0.175075054168701,0.428571428571429,0.428571428571429,0.989422253370706,0.990026508969134
"200",200,0.439961536394432,0.629640487666526,400,"cond_imp",1.02601289749146,0.163203001022339,0.666666666666667,0.666666666666667,0.694716752139781,0.652117427973917
"201",201,0.462250061414208,0.570964679904434,800,"cond_imp",1.27992796897888,0.18030309677124,0.666666666666667,0.666666666666667,0.820158359164349,0.821553250804218
"202",202,0.280733048820979,0.225636056981119,200,"local_only",0.926941871643066,0.156045198440552,0.428571428571429,0.428571428571429,0.776945892216838,0.776306500887224
"203",203,0.330023718775467,0.840226143171787,1600,"linear",1.91439485549927,0.222262144088745,1,1,0.809397045060064,0.807573550248778
"204",204,0.545084545662996,0.0417106404611406,100,"linear",0.855571985244751,0.160682916641235,0.428571428571429,0.428571428571429,0.700207323171741,0.74863527839649
"205",205,0.0121464325875179,0.301123417525941,1600,"cond_imp",1.97665405273438,0.210310935974121,0.666666666666667,0.666666666666667,0.276519771733916,0.278795067505232
"206",206,0.502402677130829,0.644825972109987,100,"interaction",0.851129055023193,0.160017013549805,0.111111111111111,0.25,-0.57715398410144,-0.59356564691499
"207",207,0.00501275873804787,0.514603450158033,800,"signal_diff",1.36315989494324,0.18954610824585,0.25,0.25,0.657025335350376,0.687965318701217
"208",208,0.0287871242472254,0.15533192751674,400,"linear",1.01047110557556,0.163625955581665,0.25,0.25,-0.022302152184296,-0.0425226291104444
"209",209,0.0171003192097103,0.75450541377932,100,"interaction",0.834131002426147,0.154243946075439,0.25,0.25,-0.397441727712604,-0.41100659472323
